school_name,city,country
Mastermind School,Dhaka,Bangladesh
Science Tutorial Public School,Dhaka,Bangladesh
Sunnydale School,Dhaka,Bangladesh
Anna-Lindh-Schule,Berlin,Germany
Spohn Gymnasium,Ravensburg,Germany
Bhartiya Vidya Bhavan,Kuwait,Kuwait
Hampton Primary School,Quatre Bornes,Mauritius
Hampton School,Mauritius,Mauritius
Indian Al Seeb School,Muscat,Oman
Falcon School,Quezon City,Philippines
International Indian School,Jeddah,Saudi Arabia
Dimensions International School,Singapore,Singapore
Springdale Primary School,Singapore,Singapore
Chadwick International School,Incheon,South Korea
Vavuniya Rambhaikulam Girls Maha Vidyalayam,Vavuniya,Sri Lanka
Ambassador School,Sharjah,United Arab Emirates
Delhi Private School,Dubai,United Arab Emirates
Delhi Private School,Sharjah,United Arab Emirates
Gems Modern Academy,Dubai,United Arab Emirates
Gems New Millenium,Dubai,United Arab Emirates
Gems Ourown English Highschool,Dubai,United Arab Emirates
Indian High School,Dubai,United Arab Emirates
JSS International School,Dubai,United Arab Emirates
JSS International School,Jumeira,United Arab Emirates
Kings School Nad Al Sheba,Dubai,United Arab Emirates
Our Own English High School,Sharjah,United Arab Emirates
Our Own English School,Fujairah,United Arab Emirates
Sharjah Indian School,Dubai,United Arab Emirates
Springdales School,Dubai,United Arab Emirates
The Indian High School,Dubai,United Arab Emirates
The Millennium School,Dubai,United Arab Emirates
Kokanee Elementary School,Woodinvill,United States
Oak View Elementary,Franklin,United States
Woodridge Elementary School,Bellevue,United States
La Martiniere Girls College,Azamgarh,India
S M E M School,Balaghat,India
ZP High School,Bandarulanka,India
New St. Xavier High School,Chakai,India
Rao Man Singh Sr Sec Public School,Delhi,India
St. Xavier's School,Jaipur,India
Techno India Public School,Kolkata,India
Jeevana School,Madurai,India
Mahathma CBSE School,Madurai,India
St. Thomas Sr Sec School,Mandsaur,India
St. John's High School,Mohali,India
Ascend International School,Mumbai,India
St. John Universal School,Mumbai,India
St. Joseph Convent High School,Mumbai,India
Holy Angels Convent School,Muzaffarnagar,India
PSGVM School,Palgadh,India
S.N.D Public School,Palwal,India
Dr. DY Patil International School,Patna,India
St. Anslem School,Phulera,India
St. Peter's School,Purnea,India
St. Joseph Convent Higher Secondary School,Sambalpur,India
Nirmala Convent School,Siliguri,India
St. Mary's School,Tajpur,India
Smt. Sulochana Devi Singhania School,Thane,India
St. Paul Sr Sec School,Udaipur,India
ZMS Toddler's Academy,Warangal,India
Ananda Marga Primary School,Agartala,India
Auxilium Girls School,Agartala,India
Don Bosco School,Agartala,India
Holy Cross School,Agartala,India
Pranavananda Vidyamandir,Agartala,India
Ramakrishna Shishutirtha,Agartala,India
Christ The King Inter College,Agra,India
S.K.L.G.D. Public School,Agra,India
St Anthony's Jr College,Agra,India
St. Peters College,Agra,India
St.C.F. Andrews School,Agra,India
St.Pauls Church College,Agra,India
Anand Niketan Sughad,Ahmedabad,India
Army Public School,Ahmedabad,India
Asia English Medium School,Ahmedabad,India
C N English Medium,Ahmedabad,India
Cosmos Castle International School,Ahmedabad,India
Divine Child International School,Ahmedabad,India
J G International School,Ahmedabad,India
Karnavati Eng School,Ahmedabad,India
Niraman High School,Ahmedabad,India
Rajasthan Hindi High School,Ahmedabad,India
Red Bricks Ahmedabad,Ahmedabad,India
S.H Kharavala A G School,Ahmedabad,India
Shari Jc Shah Prkash High School,Ahmedabad,India
Sheth C N English Medium High School,Ahmedabad,India
St Xavier's High School,Ahmedabad,India
St. Mary's School,Ahmedabad,India
St. Paul Public School,Ahmedabad,India
The New Tulip International School,Ahmedabad,India
Zebar School For Children,Ahmedabad,India
Podar International School,Ahmednagar,India
Yashshree Academy,Ahmednagar,India
All Saints Sr. Sec. School,Ajmer,India
Rashtriya Military School,Ajmer,India
Sanskriti The School,Ajmer,India
St Mary Sr.Sec.School,Ajmer,India
Jubilee English High School,Akola,India
Shree Jageshwar English Primary School,Akola,India
St.Ann's English Medium School,Akola,India
Harihar Pur Bhajraha,Alamnagar,India
AMU City High School,Aligarh,India
Our Lady of Fatima High School,Aligarh,India
Wisdom Public School,Aligarh,India
Woodbine School,Aligarh,India
Kalakali Adarsha Shishu Vidyal,Alipurduar,India
Indian Digital School,Allagadda,India
Bilim Innovation High School,Almaty,India
Jyothi Nivas Public School,Aluva,India
Chinar Please School,Alwar,India
Step By Step Public School,Alwar,India
Sri Chaitanya International School,Amalapuram,India
Air Force School,Ambala,India
Conventof Jesus And Mary,Ambala,India
OPS Vidya Mandir,Ambala,India
S.A.Jain Senior Model School,Ambala City,India
Rajshree Rananjay Sinh Global School,Amethi,India
Manibai Gujarati English School,Amravati,India
Podar International School,Amravati,India
School Of Scholars,Amravati,India
Titans Public School,Amravati,India
Y.E.S. English School,Amravati,India
Vavadiya K. V. Vidhya Mandir Ansodar,Amreli,India
D.A.V International School,Amritsar,India
Excelsum High School,Amritsar,India
Pathseeker,Amritsar,India
Police Dav Public School,Amritsar,India
Spring Dale Senior School,Amritsar,India
St.Joseph School,Amritsar,India
Sri Krishna Em School,Anantapur,India
Saint Lawrence,Angul,India
Bal Bharti Public School,Anuppur,India
Asansol North Point School,Asansol,India
Burnpur Riverside School,Asansol,India
Dav Public School,Asansol,India
Ramakrishna Mission High School,Asansol,India
AECS,Aswapuram,India
Atomic Energy Central School,Aswapuram,India
Shanti Dham Sr. Sec. School,Atarra,India
Cambridge School,Aurangabad,India
Chatrapati Shahu Maharaj English School,Aurangabad,India
Lord Budha Public School,Aurangabad,India
Maharashtra Public School,Aurangabad,India
Podar International Cbse School,Aurangabad,India
Vatsalya Vihar Public School,Aurangabad,India
Wockhardt Global School,Aurangabad,India
Woodridge High School,Aurangabad,India
Gd Memorial Yonkers English School Lalganj,Azamgarh,India
St.Xavier's High School,Azamgarh,India
Saraswati Vidhya Mandir,Bagaha,India
Indraprastha Public School,Baghpat,India
St.Thomas School,Bahadurgarh,India
Buddha Public School,Bahraich,India
Pandit Sachhidanand Inter Coll,Bahraich,India
Ideal Acadmey Waraseoni,Balaghat,India
Modern Public School,Balasore,India
Holy Cross School,Ballia,India
Incredible Public School,Ballia,India
Naga Ji Saraswati Vidya Mandir,Ballia,India
Unique Convent School,Ballia,India
Dunlop English Medium School,Bandel,India
AECS Magnolia,Bangalore,India
Baldwin Boys High School,Bangalore,India
Bethany High School,Bangalore,India
BGS National Public School,Bangalore,India
Bishop Cotton Boys School,Bangalore,India
Bishop Cotton Girls School,Bangalore,India
Carmel High School,Bangalore,India
Christ Academy,Bangalore,India
Chrysalis High,Bangalore,India
Clarence Public School,Bangalore,India
CMRNPS School,Bangalore,India
Deens Academy,Bangalore,India
Delhi Public School,Bangalore,India
Euro School,Bangalore,India
Freedom International School,Bangalore,India
Geetanjali Olympiad School,Bangalore,India
Gnanabodhini High School,Bangalore,India
Greenwood High International,Bangalore,India
Greenwood Montessori School,Bangalore,India
Jyothy Kendriya Vidyalaya,Bangalore,India
Mitra Academy,Bangalore,India
National Centre For Excellence,Bangalore,India
Neev Academy,Bangalore,India
New Horizon Gurukul,Bangalore,India
NPS,Bangalore,India
Orchid The International School,Bangalore,India
Presidency School,Bangalore,India
Ryan International School,Bangalore,India
S. Cadambi Vidya Kendra,Bangalore,India
School Of India,Bangalore,India
Sparkling Mindz Global School,Bangalore,India
Sparrows Montessori School,Bangalore,India
Sri Chaitanya Techno School,Bangalore,India
Sri Kumarans Public School,Bangalore,India
St Xavier's School,Bangalore,India
St. Francis Icse,Bangalore,India
St.Marys Public School,Bangalore,India
St.Paul's English School,Bangalore,India
Swargarani School And P U Collage,Bangalore,India
Tattva School,Bangalore,India
TCIS,Bangalore,India
The Brigade School,Bangalore,India
The Cambridge International School,Bangalore,India
The Oxford English School,Bangalore,India
The Regency Public School,Bangalore,India
The Samhita Academy,Bangalore,India
Venkat International Public School,Bangalore,India
Venus International School,Bangalore,India
Vidyanjali Academy For Learning,Bangalore,India
Whitefield Global School,Bangalore,India
Woodridge,Bangalore,India
Infant Jesus School,Bangarapet,India
Bankura Zilla School,Bankura,India
Shamayita Convent,Bankura,India
Sibdas Central Girls High School,Bankura,India
Central Academy Senior Secondary School,Barabanki,India
Classic Public High School,Baramulla,India
Auxilium Convent School,Barasat,India
Burdwan Town School,Bardhaman,India
Galsi High School,Bardhaman,India
Holy Child School,Bardhaman,India
Monteswar Ramkrishna Sarada Siksha,Bardhaman,India
Narayana School,Bardhaman,India
St Xavier's School,Bardhaman,India
St. Joseph's English Medium,Bardhaman,India
Delhi Public School Bareilly,Bareilly,India
GRM School,Bareilly,India
Hartmann College,Bareilly,India
Sacred Heart Senior Secondary Public School,Bareilly,India
St. Francis Convent School,Bareilly,India
Paradise Kids Academy,Barmer,India
Bholananda National Vidyalaya,Barrackpore,India
Gems Cambridge School,Batala,India
Army Public School Bhatinda,Bhatinda,India
At.Xaviers High School,Bathinda,India
Gems Public School,Bathinda,India
St Joseph Convent School,Bathinda,India
Kerala Public School Jatrawas,Bawal,India
G.S.S.S Bawani Khera,Bawani Khera,India
St. ANNS School,Beed,India
ARK International School,Begusarai,India
Blossom International Public School,Begusarai,India
St.Paul's School,Begusarai,India
Sunflower School,Begusarai,India
Don Bosco School,Berhampore,India
Merry Immaculate School,Berhampore,India
Assembly Of God Church School,Bettiah,India
Isma Public School Chanpatia,Bettiah,India
Sunbeam Blossom School,Bhabua,India
Shanti Niketan Public School,Bhadra,India
Sri Satya Sai Vidya Vihar,Bhadrak,India
Shri Sai Convent School,Bhadravati,India
New Horizon School,Bhagalpur,India
Shri Guru Harikishan Sr.Sec.School,Bharatpur,India
St Peter's Sr Sec School Bharatpur,Bharatpur,India
JNV,Bharuch,India
Queen Of Angelsconvent H.S.School,Bharuch,India
Sri Satya Sai Vidya Mandir,Bhawanipatna,India
Delhi Public School,Bhilai,India
Rungta Public School,Bhilai,India
Greenvalley Public School,Bhilwara,India
Sanskar Valley Public School,Bhind,India
B.S.V.Pilani,Bhiwani,India
Lord Parshu Ram High School,Bhiwani,India
Jawahar Lal Neharu School,Bhopal,India
Buxi Jagabandhu English Medium School,Bhubaneswar,India
Loyola School,Bhubaneswar,India
Sai International School,Bhubaneswar,India
St Joseph's Higher Secondary School,Bhubaneswar,India
Stewart School,Bhubaneswar,India
Vikash Residential School,Bhubaneswar,India
Shri Shantadurgashantadurga High School,Bicholim,India
Gnyana Sudha Vidyalaya,Bidar,India
Sri Aurobindo Institute Of Education,Bidhannagar,India
St Joseph Academy,Bihar sharif,India
Jawahar Navodya Vidhalya,Bijnor,India
St. Marys School,Bijnor,India
Bikaner Boys School,Bikaner,India
Seth Tolaram Bafna Academy,Bikaner,India
Bal Bharati Public School,Bilaspur,India
Brilliant Public School,Bilaspur,India
Kendriya Vidyalaya,Bilaspur,India
Krishna Public School,Bilaspur,India
Minerva Sr Sec School,Bilaspur,India
St.Xavier High School,Bilaspur,India
Dav Borl Public School,Bina,India
St. Xavier's Public School,Binka,India
Carmel Convent School Bishrampur,Bishrampur,India
Chinmaya Vidyalaya,Boisar,India
Bokaro Public School,Bokaro,India
Chinmaya Vidyalaya,Bokaro Steel City,India
St Paul's Modern School Bokaro Thermal,Bokaro Steel City,India
Delhi Public School,Bongaigon,India
Depaul School,Brahmapur,India
SSVM Nknagar Ganjam,Brahmapur,India
St.Vincent's Convent School,Brahmapur,India
Tithonus International School,Budaun,India
AECS Narora,Bulandshahr,India
Atomic Energy Central School,Narora,India
Delhi City School,Bulandshahr,India
Saint Momina School,Bulandshahr,India
Shree Shivaji Vidyamandir,Chakan,India
Abhinav School Chalisgaon,Chalisgaon,India
St.Joseph Convent School,Chalisgaon,India
Bhavan Vidyalaya,Chandigarh,India
Delhi Public School,Chandigarh,India
Mount Carmel School,Chandigarh,India
NBN Smart School,Chandigarh,India
Sacred Heart Sr Sec School,Chandigarh,India
Saint John High School,Chandigarh,India
St Johns High School,Chandigarh,India
St. Joseph Presidium School,Chandigarh,India
St.Stephen's School,Chandigarh,India
Bharat Vidyalaya Nawargaon,Chandrapur,India
Children Delight School,Chapra,India
Arya Sr. Sec. School,Charkhi Dadri,India
Carmel Convent School,Chatrapur,India
Alwin Memorial Public School,Chennai,India
Apex Pon Vidyashram,Chennai,India
Arulmigu Meenakshi Amman Public,Chennai,India
Besant Arundale Senior Seconda,Chennai,India
Bhavans Rajajai Vidhyasharam,Chennai,India
BVM Global School,Chennai,India
Chennai Public School,Chennai,India
Chettinad Harishree Vidhyalam,Chennai,India
D.A.V. Public School,Chennai,India
Dav Boys Senior Sec School,Chennai,India
Ebenezer Marcus International School,Chennai,India
Ebinezar Marcus Junior College,Chennai,India
GKM Vidhyashram,Chennai,India
Harishree Vidyalayam,Chennai,India
Hindustan International School,Chennai,India
Jawahar Vidyalaya Senior Secondary School,Chennai,India
Lalaji Omega International School,Chennai,India
Maharishi Vidya Mandir,Chennai,India
Mahindra World School,Chennai,India
Narayana Olympiad School,Chennai,India
Our Lady's Mat.Hr.Sec.School,Chennai,India
Primrose School,Chennai,India
Ramana Vidyalaya,Chennai,India
Ravindra Bharathi Global Schoo,Chennai,India
SBOA School & Junior College,Chennai,India
Sgerwood Hall Senior Secondary,Chennai,India
Shree Niketan Patasala,Chennai,India
Sri Chaitanya Techno School,Chennai,India
Stockholm International School,Chennai,India
The Hindu Senior Secondary School,Chennai,India
The Pupil - Eco Saveethaschool,Chennai,India
The Schram Academy,Chennai,India
Thevedanta Academy,Chennai,India
VELS Vidyashram International Pallavaram,Chennai,India
Vidya Mandir Senior Secondary School,Chennai,India
Yakut Madhya Vidyalaya,Chewara,India
Christian English College,Chhatarpur,India
Royal Kids Convent Chhuriya,Chhattisgarh,India
The Chikhali Urban Vidyaniketan,Chikhali,India
St Frances Of Assisi School Chikodi,Chikodi,India
Podar International School,Chinchwad,India
St. Joseph's Convent,Chandannagar,India
St. Joseph's Convent Higher Secondary School,Chittaranjan,India
PES Public School,Chittoor,India
Rishi Valley School,Chittoor,India
The Peepal Grove School,Chittoor,India
Dr.Dasarathan International School,Coimbatore,India
G.D Matriculation School,Coimbatore,India
Manchester International Schoo,Coimbatore,India
Suguna Pip School,Coimbatore,India
Aurobind Pathvaban,Cooch Behar,India
Netaji Centenary School,Cooch Behar,India
St. Joseph's Academy,Cooch Behar,India
St. Mary's High School,Cooch Behar,India
Dr. Dev Mohanty Public School,Cuttack,India
Lrdav Public School,Cuttack,India
Narayana School,Cuttack,India
S.C.B. Medical Public School,Cuttack,India
Cambridge School,Dabra,India
St.Mary's School,Dahod,India
Indian International School,Dammam,India
Shri Guru Nanak Hr. Sec. School,Damoh,India
D.A.V Public School,Darbhanga,India
Delhi Public School,Darbhanga,India
Jesus And Mary Academy,Darbhanga,India
Madonna English School,Darbhanga,India
PC High School,Darbhanga,India
Sunshine Play School,Debai,India
Podar Learn School Degloor,Degloor,India
Ann Mary School,Dehradun,India
Dehradun World School,Dehradun,India
Doon International School,Dehradun,India
Hilton's School,Dehradun,India
St. Joseph's Academy,Dehradun,India
The Oasis,Dehradun,India
M.S.Gopibigha,Dehri,India
Our Own High School Warqa,Deira,India
Aadharshila Vidyapeeth,Delhi,India
Adarsh Public School,Delhi,India
AGDAV Public School,Delhi,India
Ahlcon Public School,Delhi,India
Akash Model Senior Secondary School,Delhi,India
Amity International School,Delhi,India
ASN Sr Sec School,Delhi,India
Bal Bharti Public School,Delhi,India
Bal Niketan Public School,Delhi,India
BGS International Public School,Delhi,India
Bhatnagar International School,Delhi,India
Bosco Public School,Delhi,India
C.R.Saini Public Sr.Sec.School,Delhi,India
Cambridge Primary School,Delhi,India
Chinmaya Vidyalaya,Delhi,India
D.A.V Public School,Delhi,India
D.P.S Mathura Road,Delhi,India
Delhi Police Public School,Delhi,India
Faith Academy School,Delhi,India
Flora Dale School,Delhi,India
Gd Goenka Public School,Delhi,India
Genesis Global School,Delhi,India
Government Sarvodya Bal Vidyal,Delhi,India
Green Fields School,Delhi,India
Green Valley International Public School,Najafgarh,India
Green View Public School,Delhi,India
Greenway Modern School,Delhi,India
Gyan Bharati,Delhi,India
Hansraj Smarak School Dilshad,Delhi,India
Indraprastha International School,Delhi,India
J.K Public School,Delhi,India
K.R.Mangalam World School,Delhi,India
Kendriya Vidhalaya,Delhi,India
Lancer's Convent,Delhi,India
Lions Public School,Delhi,India
Loreto Convent,Delhi,India
Lotus Valley International School,Delhi,India
Mata Shiv Devi Public School,Delhi,India
Modern School,Delhi,India
Mother's International School,Delhi,India
Mount Abu School,Delhi,India
New Green Field School,Delhi,India
NK Bagrodia Public School,Delhi,India
Prabhu Dayal Public School,Delhi,India
Pragati Public School,Delhi,India
Presentation Convent Senior Secondary School,Delhi,India
Ramjas School,Delhi,India
Ravindra Memorial Public School,Delhi,India
Richmondd Global School,Delhi,India
Rosary Senior Secondary School,Delhi,India
Ryan International School,Delhi,India
Sachdeva Public School,Delhi,India
SAM International School,Delhi,India
Sant Nirankari Public School,Delhi,India
Saraswati Bal Mandir,Delhi,India
Sardar Patel School,Delhi,India
Sarvodya Bal Vidhalaya,Delhi,India
Shared Rajpal Dav Public Schoo,Delhi,India
Shreeram World School,Delhi,India
Shri Tula Ram Public School,Delhi,India
Siddharth International Public School,Delhi,India
SMS Janakpuri,Delhi,India
Soami Nagar Model School,Delhi,India
Srijan Public School,Delhi,India
St Marks Sr Sec Public School,Delhi,India
St Paul School,Delhi,India
St. Anthony's Sr. Sec School,Delhi,India
St. BS Public School,Delhi,India
St. Columba's School,Delhi,India
St. Mary Sr. Sec. School,Delhi,India
St. Michael Junior School,Delhi,India
St. Michael Senior Secondary School,Delhi,India
St. Paul's School,Delhi,India
St. Thomas School,Delhi,India
St.Joseph,Delhi,India
St.Marks Se Sec Public School,Delhi,India
Tagore International School Eok,Delhi,India
The Shri Ram School Vasant Vihar,Delhi,India
The Srijan School,Delhi,India
Tyagi Public School,Delhi,India
V. S. P. K International School,Delhi,India
Vasant Valley School,Delhi,India
Vedic Sanskrit Agriculture Senior Secondary School,Delhi,India
Venkteshwar International School,Delhi,India
Vishal Bharti Public School,Delhi,India
VSPK International School,Delhi,India
St. Francis School Deoghar,Deoghar,India
St.Xavier's High School,Deoghar,India
Carmel English School,Devanhalli,India
St.Mary's Convent S.S School,Dewas,India
Balika Vidya Mandir,Dhanbad,India
