"Mastermind School, Dhaka",1,Bangladesh
"Science Tutorial Public School, Dhaka",1,Bangladesh
"Sunnydale School, Dhaka",1,Bangladesh
"Anna-Lindh-Schule, Berlin ",1,Germany
"Spohn Gymnasium, Ravensburg",1,Germany
"Bhartiya Vidya Bhavan, Kuwait",1,Kuwait
"Hampton Primary School, Quatre Bornes",1,Mauritius
"Hampton School, Mauritius",1,Mauritius
"Indian Al Seeb School, Muscat",1,Oman
"Falcon School, Quezon City",1,Philippines
"International Indian School, Jeddah",1,Saudi Arabia
"Dimensions International School, Singapore",1,Singapore
"Springdale Primary School, Singapore",1,Singapore
"Chadwick International School, Incheon",1,South Korea
"Vavuniya Rambhaikulam Girls Maha Vidyalayam, Vavuniya",1,Sri Lanka
"Ambassador School, Sharjah",1,United Arab Emirates
"Delhi Private School, Dubai",1,United Arab Emirates
"Delhi Private School, Sharjah",1,United Arab Emirates
"Gems Modern Academy, Dubai",1,United Arab Emirates
"Gems New Millenium, Dubai",1,United Arab Emirates
"Gems Ourown English Highschool, Dubai",1,United Arab Emirates
"Indian High School, Dubai",1,United Arab Emirates
"JSS International School, Dubai",1,United Arab Emirates
"JSS International School, Jumeira",1,United Arab Emirates
"Kings School Nad Al Sheba, Dubai",1,United Arab Emirates
"Our Own English High School, Sharjah",1,United Arab Emirates
"Our Own English School, Fujairah",1,United Arab Emirates
"Sharjah Indian School, Dubai",1,United Arab Emirates
"Springdales School, Dubai",1,United Arab Emirates
"The Indian High School, Dubai",1,United Arab Emirates
"The Millennium School, Dubai",1,United Arab Emirates
"Kokanee Elementary School, Woodinvill",1,United States
"Oak View Elementary, Franklin ",1,United States
"Woodridge Elementary School, Bellevue",1,United States
"La Martiniere Girls College, Azamgarh",, Azamgarh
"S M E M School, Balaghat",, Balaghat
"ZP High School, Bandarulanka",, Bandarulanka
"New St. Xavier High School, Chakai",, Chakai
"Rao Man Singh Sr Sec Public School, Delhi",, Delhi
"St. Xavier's School, Jaipur",, Jaipur
"Techno India Public School, Kolkata",, Kolkata
"Jeevana School, Madurai",, Madurai
"Mahathma CBSE School, Madurai",, Madurai
"St. Thomas Sr Sec School, Mandsaur",, Mandsaur
"St. John's High School, Mohali",, Mohali
"Ascend International School, Mumbai",, Mumbai
"St. John Universal School, Mumbai",, Mumbai
"St. Joseph Convent High School, Mumbai",, Mumbai
"Holy Angels Convent School, Muzaffarnagar",, Muzaffarnagar
"PSGVM School, Palgadh",, Palgadh
"S.N.D Public School, Palwal",, Palwal
"Dr. DY Patil International School, Patna",, Patna
"St. Anslem School, Phulera",, Phulera
"St. Peter's School, Purnea",, Purnea
"St. Joseph Convent Higher Secondary School, Sambalpur",, Sambalpur
"Nirmala Convent School, Siliguri",, Siliguri
"St. Mary's School, Tajpur",, Tajpur
"Smt. Sulochana Devi Singhania School, Thane",, Thane
"St. Paul Sr Sec School, Udaipur",, Udaipur
"ZMS Toddler's Academy, Warangal",, Warangal
"Ananda Marga Primary School, Agartala",,Agartala
"Auxilium Girls School, Agartala",,Agartala
"Don Bosco School, Agartala",,Agartala
"Holy Cross School, Agartala",,Agartala
"Pranavananda Vidyamandir, Agartala",,Agartala
"Ramakrishna Shishutirtha, Agartala",,Agartala
"Christ The King Inter College, Agra",,Agra
"S.K.L.G.D. Public School, Agra",,Agra
"St Anthony's Jr College, Agra",,Agra
"St. Peters College, Agra",,Agra
"St.C.F. Andrews School, Agra",,Agra
"St.Pauls Church College, Agra",,Agra
"Anand Niketan Sughad, Ahmedabad",,Ahmedabad
"Army Public School, Ahmedabad",,Ahmedabad
"Asia English Medium School, Ahmedabad",,Ahmedabad
"C N English Medium, Ahmedabad",,Ahmedabad
"Cosmos Castle International School, Ahmedabad",,Ahmedabad
"Divine Child International School, Ahmedabad",,Ahmedabad
"J G International School, Ahmedabad",,Ahmedabad
